,stop_id,direction_id,destination,headway_time_sec,stop_name,stop_desc,line
0,70001,1,Oak Grove,499.69223892457455,Forest Hills,Forest Hills - Orange Line,orange
1,70002,0,Forest Hills,509.65649852434274,Green Street,Green Street - Orange Line - Forest Hills,orange
2,70003,1,Oak Grove,512.0709980499911,Green Street,Green Street - Orange Line - Oak Grove,orange
3,70004,0,Forest Hills,506.53810773821544,Stony Brook,Stony Brook - Orange Line - Forest Hills,orange
4,70005,1,Oak Grove,512.9414180568053,Stony Brook,Stony Brook - Orange Line - Oak Grove,orange
5,70006,0,Forest Hills,506.07084761712713,Jackson Square,Jackson Square - Orange Line - Forest Hills,orange
6,70007,1,Oak Grove,511.7442836119226,Jackson Square,Jackson Square - Orange Line - Oak Grove,orange
7,70008,0,Forest Hills,504.4476535097456,Roxbury Crossing,Roxbury Crossing - Orange Line - Forest Hills,orange
8,70009,1,Oak Grove,511.7408963893595,Roxbury Crossing,Roxbury Crossing - Orange Line - Oak Grove,orange
9,70010,0,Forest Hills,504.7196029776675,Ruggles,Ruggles - Orange Line - Forest Hills,orange
10,70011,1,Oak Grove,511.32834210468366,Ruggles,Ruggles - Orange Line - Oak Grove,orange
11,70012,0,Forest Hills,505.26147908256064,Massachusetts Avenue,Massachusetts Avenue - Orange Line - Forest Hills,orange
12,70013,1,Oak Grove,512.1386379280675,Massachusetts Avenue,Massachusetts Avenue - Orange Line - Oak Grove,orange
13,70014,0,Forest Hills,506.44928571428574,Back Bay,Back Bay - Orange Line - Forest Hills,orange
14,70015,1,Oak Grove,513.125261051166,Back Bay,Back Bay - Orange Line - Oak Grove,orange
15,70016,0,Forest Hills,508.8993129021704,Tufts Medical Center,Tufts Medical Center - Orange Line - Forest Hills,orange
16,70017,1,Oak Grove,515.3095238095239,Tufts Medical Center,Tufts Medical Center - Orange Line - Oak Grove,orange
17,70018,0,Forest Hills,510.6439480333624,Chinatown,Chinatown - Orange Line - Forest Hills,orange
18,70019,1,Oak Grove,515.177310616667,Chinatown,Chinatown - Orange Line - Oak Grove,orange
19,70020,0,Forest Hills,509.17629407351836,Downtown Crossing,Downtown Crossing - Orange Line - Forest Hills,orange
20,70021,1,Oak Grove,509.7649419490525,Downtown Crossing,Downtown Crossing - Orange Line - Oak Grove,orange
21,70022,0,Forest Hills,512.90716254032,State,State - Orange Line - Forest Hills,orange
22,70023,1,Oak Grove,509.3843737135181,State,State - Orange Line - Oak Grove,orange
23,70024,0,Forest Hills,512.8667491749175,Haymarket,Haymarket - Orange Line - Forest Hills,orange
24,70025,1,Oak Grove,505.85996232366597,Haymarket,Haymarket - Orange Line - Oak Grove,orange
25,70026,0,Forest Hills,509.9817631224764,North Station,North Station - Orange Line - Forest Hills,orange
26,70027,1,Oak Grove,506.17717453473534,North Station,North Station - Orange Line - Oak Grove,orange
27,70028,0,Forest Hills,507.67671472258627,Community College,Community College - Orange Line - Forest Hills,orange
28,70029,1,Oak Grove,503.7102787303262,Community College,Community College - Orange Line - Oak Grove,orange
29,70030,0,Forest Hills,505.2348167423808,Sullivan Square,Sullivan Square - Orange Line - Forest Hills,orange
