,stop_id,direction_id,destination,headway_time_sec,stop_name,stop_desc,line
0,70001,0,Forest Hills,684.6722689075631,Forest Hills,Forest Hills - Orange Line,orange
1,70001,1,Oak Grove,519.1486227201552,Forest Hills,Forest Hills - Orange Line,orange
2,70002,0,Forest Hills,521.1407172534441,Green Street,Green Street - Orange Line - Forest Hills,orange
3,70003,1,Oak Grove,512.0219273330455,Green Street,Green Street - Orange Line - Oak Grove,orange
4,70004,0,Forest Hills,521.4352073494209,Stony Brook,Stony Brook - Orange Line - Forest Hills,orange
5,70005,1,Oak Grove,515.316269029766,Stony Brook,Stony Brook - Orange Line - Oak Grove,orange
6,70006,0,Forest Hills,519.1467165419784,Jackson Square,Jackson Square - Orange Line - Forest Hills,orange
7,70007,1,Oak Grove,516.1003891050584,Jackson Square,Jackson Square - Orange Line - Oak Grove,orange
8,70008,0,Forest Hills,516.3767835812791,Roxbury Crossing,Roxbury Crossing - Orange Line - Forest Hills,orange
9,70009,1,Oak Grove,516.283893767402,Roxbury Crossing,Roxbury Crossing - Orange Line - Oak Grove,orange
10,70010,0,Forest Hills,512.1409056192035,Ruggles,Ruggles - Orange Line - Forest Hills,orange
11,70011,1,Oak Grove,516.527166437414,Ruggles,Ruggles - Orange Line - Oak Grove,orange
12,70012,0,Forest Hills,517.0776963128254,Massachusetts Avenue,Massachusetts Avenue - Orange Line - Forest Hills,orange
13,70013,1,Oak Grove,517.2635670408812,Massachusetts Avenue,Massachusetts Avenue - Orange Line - Oak Grove,orange
14,70014,0,Forest Hills,517.3964059645695,Back Bay,Back Bay - Orange Line - Forest Hills,orange
15,70015,1,Oak Grove,517.1264766171467,Back Bay,Back Bay - Orange Line - Oak Grove,orange
16,70016,0,Forest Hills,514.434165341446,Tufts Medical Center,Tufts Medical Center - Orange Line - Forest Hills,orange
17,70017,1,Oak Grove,519.1029551151083,Tufts Medical Center,Tufts Medical Center - Orange Line - Oak Grove,orange
18,70018,0,Forest Hills,513.669280422822,Chinatown,Chinatown - Orange Line - Forest Hills,orange
19,70019,1,Oak Grove,513.1545941315056,Chinatown,Chinatown - Orange Line - Oak Grove,orange
20,70020,0,Forest Hills,513.0834748951726,Downtown Crossing,Downtown Crossing - Orange Line - Forest Hills,orange
21,70021,1,Oak Grove,509.1837389618781,Downtown Crossing,Downtown Crossing - Orange Line - Oak Grove,orange
22,70022,0,Forest Hills,514.7778799674894,State,State - Orange Line - Forest Hills,orange
23,70023,1,Oak Grove,509.131648361152,State,State - Orange Line - Oak Grove,orange
24,70024,0,Forest Hills,514.5401105019702,Haymarket,Haymarket - Orange Line - Forest Hills,orange
25,70025,1,Oak Grove,508.98235978288966,Haymarket,Haymarket - Orange Line - Oak Grove,orange
26,70026,0,Forest Hills,514.531003189144,North Station,North Station - Orange Line - Forest Hills,orange
27,70027,1,Oak Grove,509.035666594874,North Station,North Station - Orange Line - Oak Grove,orange
28,70028,0,Forest Hills,514.1860554782049,Community College,Community College - Orange Line - Forest Hills,orange
29,70029,1,Oak Grove,508.82528770311626,Community College,Community College - Orange Line - Oak Grove,orange
30,70030,0,Forest Hills,523.6969875338981,Sullivan Square,Sullivan Square - Orange Line - Forest Hills,orange
31,70031,1,Oak Grove,508.6387195455042,Sullivan Square,Sullivan Square - Orange Line - Oak Grove,orange
32,70032,0,Forest Hills,523.1757934734019,Wellington,Wellington - Orange Line - Forest Hills,orange
33,70033,1,Oak Grove,523.439249357108,Wellington,Wellington - Orange Line - Oak Grove,orange
34,70034,0,Forest Hills,522.5432281836974,Malden Center,Malden Center - Orange Line - Forest Hills,orange
35,70035,1,Oak Grove,510.80862682673387,Malden Center,Malden Center - Orange Line - Oak Grove,orange
36,70036,0,Forest Hills,533.1263153068476,Oak Grove,Oak Grove - Orange Line,orange
37,70036,1,Oak Grove,993.3200612557428,Oak Grove,Oak Grove - Orange Line,orange
38,70038,1,Wonderland,425.14393066479636,Bowdoin,Bowdoin - Blue Line - Wonderland,blue
39,70039,0,Bowdoin,417.2882575883507,Government Center,Government Center - Blue Line - Bowdoin,blue
40,70040,1,Wonderland,426.29069148050735,Government Center,Government Center - Blue Line - Wonderland,blue
41,70041,0,Bowdoin,417.52140504939626,State,State - Blue Line - Bowdoin,blue
42,70042,1,Wonderland,426.8298169484762,State,State - Blue Line - Wonderland,blue
43,70043,0,Bowdoin,416.18293857755043,Aquarium,Aquarium - Blue Line - Bowdoin,blue
44,70044,1,Wonderland,426.49521379494365,Aquarium,Aquarium - Blue Line - Wonderland,blue
45,70045,0,Bowdoin,416.2982628047565,Maverick,Maverick - Blue Line - Bowdoin,blue
46,70046,1,Wonderland,425.59185414401605,Maverick,Maverick - Blue Line - Wonderland,blue
47,70047,0,Bowdoin,416.2643494473299,Airport,Airport - Blue Line - Bowdoin,blue
48,70048,1,Wonderland,425.11604152433637,Airport,Airport - Blue Line - Wonderland,blue
49,70049,0,Bowdoin,415.77853165738674,Wood Island,Wood Island - Blue Line - Bowdoin,blue
50,70050,1,Wonderland,423.76804882126737,Wood Island,Wood Island - Blue Line - Wonderland,blue
51,70051,0,Bowdoin,419.49337511970054,Orient Heights,Orient Heights - Blue Line - Bowdoin,blue
52,70052,1,Wonderland,421.39198706068674,Orient Heights,Orient Heights - Blue Line - Wonderland,blue
53,70053,0,Bowdoin,426.6511244247634,Suffolk Downs,Suffolk Downs - Blue Line - Bowdoin,blue
54,70054,1,Wonderland,421.07484842855456,Suffolk Downs,Suffolk Downs - Blue Line - Wonderland,blue
55,70055,0,Bowdoin,425.91372616984404,Beachmont,Beachmont - Blue Line - Bowdoin,blue
56,70056,1,Wonderland,420.7088748607501,Beachmont,Beachmont - Blue Line - Wonderland,blue
57,70057,0,Bowdoin,425.3069184363776,Revere Beach,Revere Beach - Blue Line - Bowdoin,blue
58,70058,1,Wonderland,420.2280295865982,Revere Beach,Revere Beach - Blue Line - Wonderland,blue
59,70059,0,Bowdoin,425.8780913790694,Wonderland,Wonderland - Blue Line - Bowdoin,blue
60,70060,1,Wonderland,410.3333333333333,Wonderland,Wonderland - Blue Line - Exit Only,blue
61,70061,0,Ashmont,747.3758958556937,Alewife,Alewife - Red Line,red
62,70061,0,Braintree,693.7654391124181,Alewife,Alewife - Red Line,red
63,70061,0,Southbound,368.3899024183284,Alewife,Alewife - Red Line,red
64,70061,1,Alewife,601.5504587155963,Alewife,Alewife - Red Line,red
65,70063,0,Ashmont,739.664267921395,Davis,Davis - Red Line - Ashmont/Braintree,red
66,70063,0,Braintree,686.5712777539508,Davis,Davis - Red Line - Ashmont/Braintree,red
67,70063,0,Southbound,362.3414313346228,Davis,Davis - Red Line - Ashmont/Braintree,red
