,stop_id,direction_id,destination,headway_time_sec,stop_name,stop_desc,line
0,70001,0,Forest Hills,1056.1379310344828,Forest Hills,Forest Hills - Orange Line,orange
1,70001,1,Oak Grove,512.2139113752281,Forest Hills,Forest Hills - Orange Line,orange
2,70002,0,Forest Hills,519.7183603951403,Green Street,Green Street - Orange Line - Forest Hills,orange
3,70003,1,Oak Grove,514.1178365780094,Green Street,Green Street - Orange Line - Oak Grove,orange
4,70004,0,Forest Hills,519.0194278443046,Stony Brook,Stony Brook - Orange Line - Forest Hills,orange
5,70005,1,Oak Grove,516.5781483663388,Stony Brook,Stony Brook - Orange Line - Oak Grove,orange
6,70006,0,Forest Hills,515.5577563021379,Jackson Square,Jackson Square - Orange Line - Forest Hills,orange
7,70007,1,Oak Grove,518.8814934337322,Jackson Square,Jackson Square - Orange Line - Oak Grove,orange
8,70008,0,Forest Hills,513.6338483813316,Roxbury Crossing,Roxbury Crossing - Orange Line - Forest Hills,orange
9,70009,1,Oak Grove,518.7866597979707,Roxbury Crossing,Roxbury Crossing - Orange Line - Oak Grove,orange
10,70010,0,Forest Hills,512.7407181019651,Ruggles,Ruggles - Orange Line - Forest Hills,orange
11,70011,1,Oak Grove,517.8109693075091,Ruggles,Ruggles - Orange Line - Oak Grove,orange
12,70012,0,Forest Hills,518.6810078123261,Massachusetts Avenue,Massachusetts Avenue - Orange Line - Forest Hills,orange
13,70013,1,Oak Grove,523.4476666153271,Massachusetts Avenue,Massachusetts Avenue - Orange Line - Oak Grove,orange
14,70014,0,Forest Hills,518.8030329983101,Back Bay,Back Bay - Orange Line - Forest Hills,orange
15,70015,1,Oak Grove,523.974802940395,Back Bay,Back Bay - Orange Line - Oak Grove,orange
16,70016,0,Forest Hills,525.9376592566558,Tufts Medical Center,Tufts Medical Center - Orange Line - Forest Hills,orange
17,70017,1,Oak Grove,529.8216380621334,Tufts Medical Center,Tufts Medical Center - Orange Line - Oak Grove,orange
18,70018,0,Forest Hills,526.2449194574903,Chinatown,Chinatown - Orange Line - Forest Hills,orange
19,70019,1,Oak Grove,530.1968404560885,Chinatown,Chinatown - Orange Line - Oak Grove,orange
20,70020,0,Forest Hills,526.2877622147695,Downtown Crossing,Downtown Crossing - Orange Line - Forest Hills,orange
21,70021,1,Oak Grove,526.154596434572,Downtown Crossing,Downtown Crossing - Orange Line - Oak Grove,orange
22,70022,0,Forest Hills,529.6562452407371,State,State - Orange Line - Forest Hills,orange
23,70023,1,Oak Grove,526.0230493351994,State,State - Orange Line - Oak Grove,orange
24,70024,0,Forest Hills,529.6379750147165,Haymarket,Haymarket - Orange Line - Forest Hills,orange
25,70025,1,Oak Grove,525.8578357475258,Haymarket,Haymarket - Orange Line - Oak Grove,orange
26,70026,0,Forest Hills,529.6304366774166,North Station,North Station - Orange Line - Forest Hills,orange
27,70027,1,Oak Grove,525.8164971009736,North Station,North Station - Orange Line - Oak Grove,orange
28,70028,0,Forest Hills,528.1073184589497,Community College,Community College - Orange Line - Forest Hills,orange
29,70029,1,Oak Grove,525.4743786101873,Community College,Community College - Orange Line - Oak Grove,orange
30,70030,0,Forest Hills,522.3999559943893,Sullivan Square,Sullivan Square - Orange Line - Forest Hills,orange
31,70031,1,Oak Grove,517.8497652582159,Sullivan Square,Sullivan Square - Orange Line - Oak Grove,orange
32,70032,0,Forest Hills,527.5515491988879,Wellington,Wellington - Orange Line - Forest Hills,orange
33,70033,1,Oak Grove,522.5792448125883,Wellington,Wellington - Orange Line - Oak Grove,orange
34,70034,0,Forest Hills,529.9347900210263,Malden Center,Malden Center - Orange Line - Forest Hills,orange
35,70035,1,Oak Grove,524.3066888242626,Malden Center,Malden Center - Orange Line - Oak Grove,orange
36,70036,0,Forest Hills,543.4712946351062,Oak Grove,Oak Grove - Orange Line,orange
37,70036,1,Oak Grove,1204.1808510638298,Oak Grove,Oak Grove - Orange Line,orange
38,70038,1,Wonderland,435.4847989539065,Bowdoin,Bowdoin - Blue Line - Wonderland,blue
39,70039,0,Bowdoin,428.51699531163814,Government Center,Government Center - Blue Line - Bowdoin,blue
40,70040,1,Wonderland,433.1389421002675,Government Center,Government Center - Blue Line - Wonderland,blue
41,70041,0,Bowdoin,426.1087833084539,State,State - Blue Line - Bowdoin,blue
42,70042,1,Wonderland,433.397340599831,State,State - Blue Line - Wonderland,blue
43,70043,0,Bowdoin,423.83585320596524,Aquarium,Aquarium - Blue Line - Bowdoin,blue
44,70044,1,Wonderland,433.26751142142916,Aquarium,Aquarium - Blue Line - Wonderland,blue
45,70045,0,Bowdoin,422.8095082249591,Maverick,Maverick - Blue Line - Bowdoin,blue
46,70046,1,Wonderland,432.8188279538358,Maverick,Maverick - Blue Line - Wonderland,blue
47,70047,0,Bowdoin,422.9593149224473,Airport,Airport - Blue Line - Bowdoin,blue
48,70048,1,Wonderland,432.09741190282983,Airport,Airport - Blue Line - Wonderland,blue
49,70049,0,Bowdoin,423.26139461063383,Wood Island,Wood Island - Blue Line - Bowdoin,blue
50,70050,1,Wonderland,431.69860386356567,Wood Island,Wood Island - Blue Line - Wonderland,blue
51,70051,0,Bowdoin,429.84177604223163,Orient Heights,Orient Heights - Blue Line - Bowdoin,blue
52,70052,1,Wonderland,430.7912106910084,Orient Heights,Orient Heights - Blue Line - Wonderland,blue
53,70053,0,Bowdoin,432.5107075279846,Suffolk Downs,Suffolk Downs - Blue Line - Bowdoin,blue
54,70054,1,Wonderland,430.68688504816225,Suffolk Downs,Suffolk Downs - Blue Line - Wonderland,blue
55,70055,0,Bowdoin,432.40242351444925,Beachmont,Beachmont - Blue Line - Bowdoin,blue
56,70056,1,Wonderland,431.0503540248849,Beachmont,Beachmont - Blue Line - Wonderland,blue
57,70057,0,Bowdoin,432.0575809259851,Revere Beach,Revere Beach - Blue Line - Bowdoin,blue
58,70058,1,Wonderland,432.371111684292,Revere Beach,Revere Beach - Blue Line - Wonderland,blue
