,stop_id,direction_id,destination,headway_time_sec,stop_name,stop_desc,line
0,70001,0,Forest Hills,532.0,Forest Hills,Forest Hills - Orange Line,orange
1,70001,1,Oak Grove,568.3927241416425,Forest Hills,Forest Hills - Orange Line,orange
2,70002,0,Forest Hills,569.730113454948,Green Street,Green Street - Orange Line - Forest Hills,orange
3,70003,1,Oak Grove,563.1001326543711,Green Street,Green Street - Orange Line - Oak Grove,orange
4,70004,0,Forest Hills,570.3949138114492,Stony Brook,Stony Brook - Orange Line - Forest Hills,orange
5,70005,1,Oak Grove,564.9360384998622,Stony Brook,Stony Brook - Orange Line - Oak Grove,orange
6,70006,0,Forest Hills,570.6592893963277,Jackson Square,Jackson Square - Orange Line - Forest Hills,orange
7,70007,1,Oak Grove,564.4633769422923,Jackson Square,Jackson Square - Orange Line - Oak Grove,orange
8,70008,0,Forest Hills,571.1044646267453,Roxbury Crossing,Roxbury Crossing - Orange Line - Forest Hills,orange
9,70009,1,Oak Grove,565.968410390597,Roxbury Crossing,Roxbury Crossing - Orange Line - Oak Grove,orange
10,70010,0,Forest Hills,564.9392169817353,Ruggles,Ruggles - Orange Line - Forest Hills,orange
11,70011,1,Oak Grove,565.8214323405872,Ruggles,Ruggles - Orange Line - Oak Grove,orange
12,70012,0,Forest Hills,566.0449033242877,Massachusetts Avenue,Massachusetts Avenue - Orange Line - Forest Hills,orange
13,70013,1,Oak Grove,567.3524133728382,Massachusetts Avenue,Massachusetts Avenue - Orange Line - Oak Grove,orange
14,70014,0,Forest Hills,566.0115076505743,Back Bay,Back Bay - Orange Line - Forest Hills,orange
15,70015,1,Oak Grove,567.0204883584097,Back Bay,Back Bay - Orange Line - Oak Grove,orange
16,70016,0,Forest Hills,565.9930595351799,Tufts Medical Center,Tufts Medical Center - Orange Line - Forest Hills,orange
17,70017,1,Oak Grove,566.9047619047619,Tufts Medical Center,Tufts Medical Center - Orange Line - Oak Grove,orange
18,70018,0,Forest Hills,566.5057278628707,Chinatown,Chinatown - Orange Line - Forest Hills,orange
19,70019,1,Oak Grove,568.4151962853525,Chinatown,Chinatown - Orange Line - Oak Grove,orange
20,70020,0,Forest Hills,566.5902052574721,Downtown Crossing,Downtown Crossing - Orange Line - Forest Hills,orange
21,70021,1,Oak Grove,564.93280783167,Downtown Crossing,Downtown Crossing - Orange Line - Oak Grove,orange
