,stop_id,direction_id,destination,headway_time_sec,stop_name,stop_desc,line
0,70001,0,Forest Hills,560.2574468085106,Forest Hills,Forest Hills - Orange Line,orange
1,70001,1,Oak Grove,538.0749978243844,Forest Hills,Forest Hills - Orange Line,orange
2,70002,0,Forest Hills,539.82131773693,Green Street,Green Street - Orange Line - Forest Hills,orange
3,70003,1,Oak Grove,531.5583397650287,Green Street,Green Street - Orange Line - Oak Grove,orange
4,70004,0,Forest Hills,540.2007264417994,Stony Brook,Stony Brook - Orange Line - Forest Hills,orange
5,70005,1,Oak Grove,533.7458661183149,Stony Brook,Stony Brook - Orange Line - Oak Grove,orange
6,70006,0,Forest Hills,540.4278915046059,Jackson Square,Jackson Square - Orange Line - Forest Hills,orange
7,70007,1,Oak Grove,533.7118152196049,Jackson Square,Jackson Square - Orange Line - Oak Grove,orange
8,70008,0,Forest Hills,539.467888026797,Roxbury Crossing,Roxbury Crossing - Orange Line - Forest Hills,orange
9,70009,1,Oak Grove,533.487689410008,Roxbury Crossing,Roxbury Crossing - Orange Line - Oak Grove,orange
10,70010,0,Forest Hills,532.9906867453348,Ruggles,Ruggles - Orange Line - Forest Hills,orange
11,70011,1,Oak Grove,533.5654727550501,Ruggles,Ruggles - Orange Line - Oak Grove,orange
12,70012,0,Forest Hills,532.8475849179541,Massachusetts Avenue,Massachusetts Avenue - Orange Line - Forest Hills,orange
13,70013,1,Oak Grove,533.5855224058006,Massachusetts Avenue,Massachusetts Avenue - Orange Line - Oak Grove,orange
14,70014,0,Forest Hills,533.2983064225535,Back Bay,Back Bay - Orange Line - Forest Hills,orange
15,70015,1,Oak Grove,533.7006796941376,Back Bay,Back Bay - Orange Line - Oak Grove,orange
16,70016,0,Forest Hills,528.2665657409341,Tufts Medical Center,Tufts Medical Center - Orange Line - Forest Hills,orange
17,70017,1,Oak Grove,533.6593677691575,Tufts Medical Center,Tufts Medical Center - Orange Line - Oak Grove,orange
18,70018,0,Forest Hills,528.578144831783,Chinatown,Chinatown - Orange Line - Forest Hills,orange
19,70019,1,Oak Grove,530.0666898228552,Chinatown,Chinatown - Orange Line - Oak Grove,orange
20,70020,0,Forest Hills,528.4754340534246,Downtown Crossing,Downtown Crossing - Orange Line - Forest Hills,orange
21,70021,1,Oak Grove,526.7209083953537,Downtown Crossing,Downtown Crossing - Orange Line - Oak Grove,orange
22,70022,0,Forest Hills,530.8213589553397,State,State - Orange Line - Forest Hills,orange
23,70023,1,Oak Grove,526.5390540775518,State,State - Orange Line - Oak Grove,orange
24,70024,0,Forest Hills,530.5497833255641,Haymarket,Haymarket - Orange Line - Forest Hills,orange
25,70025,1,Oak Grove,526.2638482950591,Haymarket,Haymarket - Orange Line - Oak Grove,orange
26,70026,0,Forest Hills,524.6239897067884,North Station,North Station - Orange Line - Forest Hills,orange
27,70027,1,Oak Grove,520.1047184448298,North Station,North Station - Orange Line - Oak Grove,orange
28,70028,0,Forest Hills,526.1335782384326,Community College,Community College - Orange Line - Forest Hills,orange
29,70029,1,Oak Grove,522.5516388810398,Community College,Community College - Orange Line - Oak Grove,orange
30,70030,0,Forest Hills,531.8726331233279,Sullivan Square,Sullivan Square - Orange Line - Forest Hills,orange
31,70031,1,Oak Grove,527.5131484809883,Sullivan Square,Sullivan Square - Orange Line - Oak Grove,orange
32,70032,0,Forest Hills,537.9762933305236,Wellington,Wellington - Orange Line - Forest Hills,orange
33,70033,1,Oak Grove,536.838343542038,Wellington,Wellington - Orange Line - Oak Grove,orange
34,70034,0,Forest Hills,540.3143308596385,Malden Center,Malden Center - Orange Line - Forest Hills,orange
35,70035,1,Oak Grove,535.2079606599438,Malden Center,Malden Center - Orange Line - Oak Grove,orange
36,70036,0,Forest Hills,551.965077755852,Oak Grove,Oak Grove - Orange Line,orange
37,70036,1,Oak Grove,844.2807646356033,Oak Grove,Oak Grove - Orange Line,orange
38,70038,1,Wonderland,460.3890193686137,Bowdoin,Bowdoin - Blue Line - Wonderland,blue
39,70039,0,Bowdoin,455.70266646350757,Government Center,Government Center - Blue Line - Bowdoin,blue
40,70040,1,Wonderland,462.09892584365394,Government Center,Government Center - Blue Line - Wonderland,blue
41,70041,0,Bowdoin,455.9273771090942,State,State - Blue Line - Bowdoin,blue
42,70042,1,Wonderland,462.86559442474777,State,State - Blue Line - Wonderland,blue
43,70043,0,Bowdoin,453.2485329756588,Aquarium,Aquarium - Blue Line - Bowdoin,blue
44,70044,1,Wonderland,462.9785621909471,Aquarium,Aquarium - Blue Line - Wonderland,blue
45,70045,0,Bowdoin,453.2233249485479,Maverick,Maverick - Blue Line - Bowdoin,blue
46,70046,1,Wonderland,462.70088409391786,Maverick,Maverick - Blue Line - Wonderland,blue
47,70047,0,Bowdoin,460.07787483931287,Airport,Airport - Blue Line - Bowdoin,blue
48,70048,1,Wonderland,462.4498973462094,Airport,Airport - Blue Line - Wonderland,blue
49,70049,0,Bowdoin,459.7519579960621,Wood Island,Wood Island - Blue Line - Bowdoin,blue
