,stop_id,direction_id,destination,headway_time_sec,stop_name,stop_desc,line
399,70258,1,North Station,408.5,Back of the Hill,Back of the Hill - Green Line - Park Street & North,green
400,70260,1,Government Center,493.6666666666667,Heath Street,Heath Street - Green Line,green
401,70260,1,Lechmere,573.5521266876459,Heath Street,Heath Street - Green Line,green
402,70260,1,North Station,108.0,Heath Street,Heath Street - Green Line,green
403,70260,1,Park St,304.0,Heath Street,Heath Street - Green Line,green
404,70261,0,Mattapan,515.8657243816255,Ashmont,Ashmont - Mattapan Trolley,red
405,70262,1,Ashmont,561.0,,,red
406,70263,0,Mattapan,499.86107678729036,Cedar Grove,Cedar Grove - Mattapan Trolley - Mattapan,red
407,70264,1,Ashmont,472.3290293453725,Cedar Grove,Cedar Grove - Mattapan Trolley - Ashmont,red
408,70265,0,Mattapan,501.601622947726,Butler,Butler - Mattapan Trolley - Mattapan,red
409,70266,1,Ashmont,460.91157440690154,Butler,Butler - Mattapan Trolley - Ashmont,red
410,70267,0,Mattapan,518.4064821066846,Milton,Milton - Mattapan Trolley - Mattapan,red
411,70268,1,Ashmont,472.29007430997876,Milton,Milton - Mattapan Trolley - Ashmont,red
412,70269,0,Mattapan,502.81558201945654,Central Avenue,Central Avenue - Mattapan Trolley - Mattapan,red
413,70270,1,Ashmont,475.05356166879216,Central Avenue,Central Avenue - Mattapan Trolley - Ashmont,red
414,70271,0,Mattapan,510.87969747104705,Valley Road,Valley Road - Mattapan Trolley - Mattapan,red
415,70272,1,Ashmont,444.70324657901796,Valley Road,Valley Road - Mattapan Trolley - Ashmont,red
416,70273,0,Mattapan,551.6417910447761,Capen Street,Capen Street - Mattapan Trolley - Mattapan,red
417,70274,1,Ashmont,475.098275862069,Capen Street,Capen Street - Mattapan Trolley - Ashmont,red
418,70278,0,Forest Hills,506.79478692594125,Assembly,Assembly - Orange Line - Forest Hills,orange
419,70279,1,Oak Grove,502.5198273474287,Assembly,Assembly - Orange Line - Oak Grove,orange
