Unnamed: 0,stop_id,direction_id,destination,headway_time_sec,stop_name
0,70001,1,Oak Grove,505.7861356582719,
1,70002,0,Forest Hills,505.5733512474229,Green Street
2,70003,1,Oak Grove,507.1144654667804,Green Street
3,70004,0,Forest Hills,505.32089258873856,Stony Brook
4,70005,1,Oak Grove,509.2273027891172,Stony Brook
5,70006,0,Forest Hills,504.6555565828402,Jackson Square
6,70007,1,Oak Grove,508.8807992336116,Jackson Square
7,70008,0,Forest Hills,502.3931053591632,Roxbury Crossing
8,70009,1,Oak Grove,508.9449685534591,Roxbury Crossing
9,70010,0,Forest Hills,502.25609023251513,Ruggles
10,70011,1,Oak Grove,508.47271277201776,Ruggles
11,70012,0,Forest Hills,508.7862978259883,Massachusetts Avenue
12,70013,1,Oak Grove,514.1130621272033,Massachusetts Avenue
13,70014,0,Forest Hills,509.4791036974752,Back Bay
14,70015,1,Oak Grove,515.6255415162454,Back Bay
15,70016,0,Forest Hills,509.967933410657,Tufts Medical Center
16,70017,1,Oak Grove,514.4666174265315,Tufts Medical Center
17,70018,0,Forest Hills,511.6031677596496,Chinatown
18,70019,1,Oak Grove,514.5497351777773,Chinatown
19,70020,0,Forest Hills,511.4410746214608,Downtown Crossing
20,70021,1,Oak Grove,511.460456034831,Downtown Crossing
21,70022,0,Forest Hills,515.2421270005162,State
22,70023,1,Oak Grove,511.3346656487178,State
23,70024,0,Forest Hills,514.5716977745873,Haymarket
24,70025,1,Oak Grove,511.3609351839375,Haymarket
25,70026,0,Forest Hills,514.7213541082838,North Station
26,70027,1,Oak Grove,511.079014176271,North Station
27,70028,0,Forest Hills,513.6884954557726,Community College
28,70029,1,Oak Grove,510.9578307830783,Community College
29,70030,0,Forest Hills,506.4299737918985,Sullivan Square
30,70031,1,Oak Grove,501.81506297345214,Sullivan Square
31,70032,0,Forest Hills,514.1580909046904,Wellington
32,70033,1,Oak Grove,504.1046802016372,Wellington
33,70034,0,Forest Hills,518.7270398481974,Malden Center
34,70035,1,Oak Grove,503.9553803339518,Malden Center
35,70036,0,Forest Hills,522.0757884522077,
36,70038,1,Wonderland,424.56223816982987,
37,70039,0,Bowdoin,417.66203489555386,Government Center
38,70040,1,Wonderland,425.3676338672769,Government Center
39,70041,0,Bowdoin,417.8732335220011,State
40,70042,1,Wonderland,425.70839867255023,State
41,70043,0,Bowdoin,416.9126459854015,Aquarium
42,70044,1,Wonderland,425.348958143269,Aquarium
43,70045,0,Bowdoin,417.1240469850071,Maverick
44,70046,1,Wonderland,425.1219832300401,Maverick
45,70047,0,Bowdoin,419.327879521993,Airport
46,70048,1,Wonderland,426.9147437058504,Airport
47,70049,0,Bowdoin,419.4333919283811,Wood Island
48,70050,1,Wonderland,426.5853578998859,Wood Island
49,70051,0,Bowdoin,425.89568771246326,Orient Heights
50,70052,1,Wonderland,426.2048866379858,Orient Heights
51,70053,0,Bowdoin,428.13245685807794,Suffolk Downs
52,70054,1,Wonderland,425.5991402764175,Suffolk Downs
53,70055,0,Bowdoin,428.150139431121,Beachmont
54,70056,1,Wonderland,425.0676973444889,Beachmont
55,70057,0,Bowdoin,428.1514965034965,Revere Beach
56,70058,1,Wonderland,424.4345744875215,Revere Beach
57,70060,0,Bowdoin,429.3378617838157,
58,70061,0,Braintree,696.7946213680282,Alewife
59,70061,0,Southbound,341.43280965313346,Alewife
60,70063,0,Braintree,662.6640737636211,Davis
61,70063,0,Southbound,350.686666351711,Davis
62,70064,1,Alewife,357.39190470645,Davis
63,70065,0,Braintree,663.5988175957781,Porter
64,70065,0,Southbound,351.2684202261307,Porter
65,70066,1,Alewife,354.122605303473,Porter
66,70067,0,Braintree,686.8612146541662,Harvard
67,70067,0,Southbound,362.156645434519,Harvard
68,70068,1,Alewife,355.6964623235887,Harvard
69,70069,0,Braintree,669.967724920054,Central
70,70069,0,Southbound,356.055111206817,Central
71,70070,1,Alewife,355.2445018392424,Central
72,70071,0,Braintree,670.0699388947928,Kendall/MIT
73,70071,0,Southbound,349.79834718609226,Kendall/MIT
74,70072,1,Alewife,350.4254568875292,Kendall/MIT
75,70073,0,Braintree,672.4414010025883,Charles/MGH
76,70073,0,Southbound,349.1541495689792,Charles/MGH
77,70074,1,Alewife,356.7563009521439,Charles/MGH
78,70075,0,Braintree,679.8109711832844,Park Street
79,70075,0,Southbound,352.27810632709173,Park Street
80,70076,1,Alewife,356.57670935008457,Park Street
81,70077,0,Braintree,679.5306623058054,Downtown Crossing
82,70077,0,Southbound,351.55006970082263,Downtown Crossing
83,70079,0,Braintree,679.385226844288,South Station
84,70079,0,Southbound,351.54859409458464,South Station
85,70080,1,Alewife,352.19962669785014,South Station
86,70081,0,Braintree,681.3256936067552,Broadway
87,70081,0,Southbound,352.6095109463831,Broadway
88,70082,1,Alewife,353.1611301265204,Broadway
89,70083,0,Braintree,678.8037197885196,Andrew
90,70083,0,Southbound,351.24108293940697,Andrew
91,70084,1,Alewife,356.23301356373685,Andrew
92,70085,0,Ashmont,703.8920983153131,JFK/UMass
93,70086,1,Alewife,709.1553506914165,JFK/UMass
94,70087,0,Ashmont,703.2625593012662,Savin Hill
95,70088,1,Alewife,709.4377371400137,Savin Hill
96,70089,0,Ashmont,702.9869422943805,Fields Corner
97,70090,1,Alewife,709.2600931677018,Fields Corner
98,70091,0,Ashmont,702.5108520519382,Shawmut
99,70092,1,Alewife,709.7483691750679,Shawmut
100,70094,1,Alewife,693.348124890982,
101,70095,0,Braintree,681.03848371726,JFK/UMass
102,70096,1,Alewife,686.8421676854301,JFK/UMass
103,70097,0,Braintree,675.7583455412524,North Quincy
104,70098,1,Alewife,678.7330045570884,North Quincy
105,70099,0,Braintree,674.9995608945206,Wollaston
106,70100,1,Alewife,679.4607895147449,Wollaston
107,70101,0,Braintree,673.5967180978879,Quincy Center
108,70102,1,Alewife,683.4874146891241,Quincy Center
109,70103,0,Braintree,680.5542257217847,Quincy Adams
110,70104,1,Alewife,684.4063263428408,Quincy Adams
111,70105,1,Alewife,691.1982023589597,
112,70106,1,Government Center,253.11111111111111,
113,70106,1,Lechmere,250.7142857142857,
114,70106,1,North Station,484.0,
115,70106,1,Park St,496.6979103924385,
116,70107,0,Boston College,520.1418938445237,Boston College
117,70110,1,Government Center,437.6666666666667,South Street
118,70110,1,Lechmere,881.0,South Street
119,70110,1,Park St,519.0201390770342,South Street
120,70111,0,Boston College,498.5033659730722,South Street
121,70112,1,Lechmere,832.0,Chestnut Hill Avenue
122,70112,1,North Station,219.0,Chestnut Hill Avenue
123,70112,1,Park St,508.3326856743658,Chestnut Hill Avenue
124,70113,0,Boston College,496.9798571490789,Chestnut Hill Avenue
125,70114,1,Government Center,445.0,Chiswick Road
126,70114,1,Lechmere,199.0,Chiswick Road
127,70114,1,Park St,509.3736025727975,Chiswick Road
128,70115,0,Boston College,517.6640278583866,Chiswick Road
129,70116,1,Government Center,422.0,Sutherland Road
130,70116,1,Park St,515.317042300433,Sutherland Road
131,70117,0,Boston College,582.3700480879322,Sutherland Road
132,70120,1,Government Center,549.0,Washington Street
133,70120,1,Lechmere,553.0,Washington Street
134,70120,1,Park St,502.4419559859916,Washington Street
135,70121,0,Boston College,496.6682458303589,Washington Street
136,70124,1,North Station,337.0,Warren Street
137,70124,1,Park St,495.83467002260994,Warren Street
138,70125,0,Boston College,496.5916214521952,Warren Street
139,70126,1,North Station,387.0,Allston Street
140,70126,1,Park St,497.51847879710857,Allston Street
141,70127,0,Boston College,499.9976814232161,Allston Street
142,70128,1,Park St,497.43169774077967,Griggs Street
143,70129,0,Boston College,500.8749102460889,Griggs Street
144,70130,1,Government Center,493.0,Harvard Avenue
145,70130,1,Lechmere,205.0,Harvard Avenue
146,70130,1,Park St,494.75191613826087,Harvard Avenue
