Unnamed: 0,stop_id,direction_id,destination,headway_time_sec,stop_name
0,70001,0,Forest Hills,532.0,
1,70001,1,Oak Grove,568.3927241416425,
2,70002,0,Forest Hills,569.730113454948,Green Street
3,70003,1,Oak Grove,563.1001326543711,Green Street
4,70004,0,Forest Hills,570.3949138114492,Stony Brook
5,70005,1,Oak Grove,564.9360384998622,Stony Brook
6,70006,0,Forest Hills,570.6592893963277,Jackson Square
7,70007,1,Oak Grove,564.4633769422923,Jackson Square
8,70008,0,Forest Hills,571.1044646267453,Roxbury Crossing
9,70009,1,Oak Grove,565.968410390597,Roxbury Crossing
10,70010,0,Forest Hills,564.9392169817353,Ruggles
11,70011,1,Oak Grove,565.8214323405872,Ruggles
12,70012,0,Forest Hills,566.0449033242877,Massachusetts Avenue
13,70013,1,Oak Grove,567.3524133728382,Massachusetts Avenue
14,70014,0,Forest Hills,566.0115076505743,Back Bay
15,70015,1,Oak Grove,567.0204883584097,Back Bay
16,70016,0,Forest Hills,565.9930595351799,Tufts Medical Center
17,70017,1,Oak Grove,566.9047619047619,Tufts Medical Center
18,70018,0,Forest Hills,566.5057278628707,Chinatown
19,70019,1,Oak Grove,568.4151962853525,Chinatown
20,70020,0,Forest Hills,566.5902052574721,Downtown Crossing
21,70021,1,Oak Grove,564.93280783167,Downtown Crossing
22,70022,0,Forest Hills,568.6355759321963,State
23,70023,1,Oak Grove,564.910988661651,State
24,70024,0,Forest Hills,568.2939000294278,Haymarket
25,70025,1,Oak Grove,564.937411215944,Haymarket
26,70026,0,Forest Hills,568.7288239393491,North Station
27,70027,1,Oak Grove,564.7762558045843,North Station
28,70028,0,Forest Hills,543.5084462934601,Community College
29,70029,1,Oak Grove,562.1722824683708,Community College
30,70030,0,Forest Hills,543.7257725841056,Sullivan Square
31,70031,1,Oak Grove,549.7082676278441,Sullivan Square
32,70032,0,Forest Hills,550.8105898428604,Wellington
33,70033,1,Oak Grove,547.2003176308475,Wellington
34,70034,0,Forest Hills,551.1512773302646,Malden Center
35,70035,1,Oak Grove,546.7619058638404,Malden Center
36,70036,0,Forest Hills,561.9466326056665,
37,70036,1,Oak Grove,1149.9079754601228,
38,70038,1,Wonderland,461.2986342072831,
39,70039,0,Bowdoin,458.82321766135567,Government Center
40,70040,1,Wonderland,464.36724385505534,Government Center
41,70041,0,Bowdoin,459.06283650356966,State
42,70042,1,Wonderland,465.5263991908294,State
43,70043,0,Bowdoin,457.3778976650089,Aquarium
44,70044,1,Wonderland,465.2637446033459,Aquarium
45,70045,0,Bowdoin,457.3510658016682,Maverick
46,70046,1,Wonderland,464.6502090921354,Maverick
47,70047,0,Bowdoin,457.50333692867736,Airport
48,70048,1,Wonderland,463.96331482762696,Airport
49,70049,0,Bowdoin,457.5806011389291,Wood Island
50,70050,1,Wonderland,463.6895347660336,Wood Island
51,70051,0,Bowdoin,457.6558378031913,Orient Heights
52,70052,1,Wonderland,462.4916969338626,Orient Heights
53,70053,0,Bowdoin,467.21496622206826,Suffolk Downs
54,70054,1,Wonderland,461.9376975474536,Suffolk Downs
55,70055,0,Bowdoin,467.426205654102,Beachmont
56,70056,1,Wonderland,461.3790509357091,Beachmont
57,70057,0,Bowdoin,466.95118222407535,Revere Beach
58,70058,1,Wonderland,460.7351130058194,Revere Beach
59,70059,0,Bowdoin,467.29052295520006,
60,70060,1,Wonderland,739.0,
61,70061,0,Ashmont,746.9229757992232,Alewife
62,70061,0,Braintree,753.7269604686111,Alewife
63,70061,0,Southbound,383.24246097019017,Alewife
64,70061,1,Alewife,1263.2380952380952,Alewife
65,70063,0,Ashmont,740.9868990384615,Davis
66,70063,0,Braintree,737.7946705164065,Davis
67,70063,0,Southbound,380.3026085459293,Davis
68,70064,1,Alewife,381.7432901617853,Davis
69,70065,0,Ashmont,740.6920980119107,Porter
70,70065,0,Braintree,736.980855118204,Porter
71,70065,0,Southbound,380.4906255375265,Porter
72,70066,1,Alewife,382.00825565144726,Porter
73,70067,0,Ashmont,741.0850041523313,Harvard
74,70067,0,Braintree,737.1034554476038,Harvard
75,70067,0,Southbound,379.8707070997,Harvard
76,70068,1,Alewife,381.80662506829225,Harvard
77,70069,0,Ashmont,750.0245578990658,Central
78,70069,0,Braintree,744.3057051225469,Central
79,70069,0,Southbound,384.3096889494064,Central
80,70070,1,Alewife,382.9911534680969,Central
81,70071,0,Ashmont,750.5895306331334,Kendall/MIT
82,70071,0,Braintree,743.9364080653186,Kendall/MIT
83,70071,0,Southbound,384.5287744277732,Kendall/MIT
84,70072,1,Alewife,383.0401537804357,Kendall/MIT
85,70073,0,Ashmont,749.9948780987503,Charles/MGH
86,70073,0,Braintree,743.8425120772947,Charles/MGH
87,70073,0,Southbound,384.4382014500773,Charles/MGH
88,70074,1,Alewife,383.11535010894175,Charles/MGH
89,70075,0,Ashmont,746.6771734956131,Park Street
90,70075,0,Braintree,743.61583990155,Park Street
91,70075,0,Southbound,382.68984369424027,Park Street
92,70076,1,Alewife,383.1265608073437,Park Street
93,70077,0,Ashmont,746.7521818610685,Downtown Crossing
94,70077,0,Braintree,743.8560203306654,Downtown Crossing
95,70077,0,Southbound,382.5783964174677,Downtown Crossing
96,70078,1,Alewife,383.5947307190284,Downtown Crossing
97,70079,0,Ashmont,746.6861761755856,South Station
98,70079,0,Braintree,743.9405263157895,South Station
99,70079,0,Southbound,382.5023404498231,South Station
100,70080,1,Alewife,382.99841438380406,South Station
101,70081,0,Ashmont,746.4409107016301,Broadway
102,70081,0,Braintree,743.5502343292326,Broadway
103,70081,0,Southbound,374.9966064332744,Broadway
104,70082,1,Alewife,375.031626008079,Broadway
105,70083,0,Ashmont,746.211057806207,Andrew
106,70083,0,Braintree,743.2864324562693,Andrew
107,70083,0,Southbound,374.8120294207251,Andrew
108,70084,1,Alewife,374.8799706719572,Andrew
109,70085,0,Ashmont,745.4133756464504,JFK/UMass
110,70086,1,Alewife,746.9259194802181,JFK/UMass
111,70087,0,Ashmont,755.9459768472202,Savin Hill
112,70088,1,Alewife,749.4128460934872,Savin Hill
113,70089,0,Ashmont,754.700136689828,Fields Corner
114,70090,1,Alewife,749.4146266229214,Fields Corner
115,70091,0,Ashmont,754.0349594652255,Shawmut
116,70092,1,Alewife,749.4481308018061,Shawmut
117,70093,0,Ashmont,1286.2397959183672,
118,70094,1,Alewife,751.136017959871,
119,70095,0,Braintree,740.6318080259989,JFK/UMass
120,70096,1,Alewife,745.1023267883401,JFK/UMass
121,70097,0,Braintree,744.9736255047582,North Quincy
122,70098,1,Alewife,747.4238560267858,North Quincy
123,70099,0,Braintree,745.879826160101,Wollaston
124,70100,1,Alewife,747.5333370529487,Wollaston
125,70101,0,Braintree,746.7092651757189,Quincy Center
126,70102,1,Alewife,748.0165012821942,Quincy Center
127,70103,0,Braintree,746.3537289180255,Quincy Adams
128,70104,1,Alewife,748.2988903139463,Quincy Adams
129,70105,0,Braintree,1358.8309859154929,
130,70105,1,Alewife,757.9826308345121,
131,70107,0,Boston College,781.0,Boston College
132,70110,1,Park St,555.7502809048316,South Street
133,70111,0,Boston College,535.7100751338821,South Street
134,70112,1,North Station,478.5,Chestnut Hill Avenue
135,70112,1,Park St,556.2624058143593,Chestnut Hill Avenue
136,70113,0,Boston College,558.6259656741972,Chestnut Hill Avenue
137,70114,1,North Station,559.0,Chiswick Road
138,70114,1,Park St,555.4703481934134,Chiswick Road
139,70115,0,Boston College,561.2697583005771,Chiswick Road
140,70116,1,Park St,556.1024325156523,Sutherland Road
141,70117,0,Boston College,561.8037735849057,Sutherland Road
142,70120,1,Government Center,220.0,Washington Street
143,70120,1,North Station,482.0,Washington Street
144,70120,1,Park St,539.554069495663,Washington Street
145,70121,0,Boston College,540.2892992049027,Washington Street
146,70124,1,Government Center,488.0,Warren Street
147,70124,1,Lechmere,1263.0,Warren Street
148,70124,1,North Station,392.0,Warren Street
149,70124,1,Park St,533.1368302899225,Warren Street
150,70125,0,Boston College,536.4725216419995,Warren Street
151,70126,1,Park St,533.5430020562029,Allston Street
