Unnamed: 0,stop_id,direction_id,destination,headway_time_sec,stop_name
0,70001,0,Forest Hills,684.6722689075631,
1,70001,1,Oak Grove,519.1486227201552,
2,70002,0,Forest Hills,521.1407172534441,Green Street
3,70003,1,Oak Grove,512.0219273330455,Green Street
4,70004,0,Forest Hills,521.4352073494209,Stony Brook
5,70005,1,Oak Grove,515.316269029766,Stony Brook
6,70006,0,Forest Hills,519.1467165419784,Jackson Square
7,70007,1,Oak Grove,516.1003891050584,Jackson Square
8,70008,0,Forest Hills,516.3767835812791,Roxbury Crossing
9,70009,1,Oak Grove,516.283893767402,Roxbury Crossing
10,70010,0,Forest Hills,512.1409056192035,Ruggles
11,70011,1,Oak Grove,516.527166437414,Ruggles
12,70012,0,Forest Hills,517.0776963128254,Massachusetts Avenue
13,70013,1,Oak Grove,517.2635670408812,Massachusetts Avenue
14,70014,0,Forest Hills,517.3964059645695,Back Bay
15,70015,1,Oak Grove,517.1264766171467,Back Bay
16,70016,0,Forest Hills,514.434165341446,Tufts Medical Center
17,70017,1,Oak Grove,519.1029551151083,Tufts Medical Center
18,70018,0,Forest Hills,513.669280422822,Chinatown
19,70019,1,Oak Grove,513.1545941315056,Chinatown
20,70020,0,Forest Hills,513.0834748951726,Downtown Crossing
21,70021,1,Oak Grove,509.1837389618781,Downtown Crossing
22,70022,0,Forest Hills,514.7778799674894,State
23,70023,1,Oak Grove,509.131648361152,State
24,70024,0,Forest Hills,514.5401105019702,Haymarket
25,70025,1,Oak Grove,508.98235978288966,Haymarket
26,70026,0,Forest Hills,514.531003189144,North Station
27,70027,1,Oak Grove,509.035666594874,North Station
28,70028,0,Forest Hills,514.1860554782049,Community College
29,70029,1,Oak Grove,508.82528770311626,Community College
30,70030,0,Forest Hills,523.6969875338981,Sullivan Square
31,70031,1,Oak Grove,508.6387195455042,Sullivan Square
32,70032,0,Forest Hills,523.1757934734019,Wellington
33,70033,1,Oak Grove,523.439249357108,Wellington
34,70034,0,Forest Hills,522.5432281836974,Malden Center
35,70035,1,Oak Grove,510.8086268267338,Malden Center
36,70036,0,Forest Hills,533.1263153068476,
37,70036,1,Oak Grove,993.3200612557428,
38,70038,1,Wonderland,425.1439306647964,
39,70039,0,Bowdoin,417.2882575883507,Government Center
40,70040,1,Wonderland,426.29069148050735,Government Center
41,70041,0,Bowdoin,417.52140504939626,State
42,70042,1,Wonderland,426.8298169484762,State
43,70043,0,Bowdoin,416.1829385775504,Aquarium
44,70044,1,Wonderland,426.49521379494365,Aquarium
45,70045,0,Bowdoin,416.2982628047565,Maverick
46,70046,1,Wonderland,425.59185414401605,Maverick
47,70047,0,Bowdoin,416.2643494473299,Airport
48,70048,1,Wonderland,425.1160415243364,Airport
49,70049,0,Bowdoin,415.77853165738674,Wood Island
50,70050,1,Wonderland,423.76804882126737,Wood Island
51,70051,0,Bowdoin,419.4933751197005,Orient Heights
52,70052,1,Wonderland,421.39198706068674,Orient Heights
53,70053,0,Bowdoin,426.6511244247634,Suffolk Downs
54,70054,1,Wonderland,421.07484842855456,Suffolk Downs
55,70055,0,Bowdoin,425.913726169844,Beachmont
56,70056,1,Wonderland,420.7088748607501,Beachmont
57,70057,0,Bowdoin,425.3069184363776,Revere Beach
58,70058,1,Wonderland,420.2280295865982,Revere Beach
59,70059,0,Bowdoin,425.8780913790694,
60,70060,1,Wonderland,410.3333333333333,
61,70061,0,Ashmont,747.3758958556937,Alewife
62,70061,0,Braintree,693.7654391124181,Alewife
63,70061,0,Southbound,368.3899024183284,Alewife
64,70061,1,Alewife,601.5504587155963,Alewife
65,70063,0,Ashmont,739.664267921395,Davis
66,70063,0,Braintree,686.5712777539508,Davis
67,70063,0,Southbound,362.3414313346228,Davis
68,70064,1,Alewife,368.60084820171295,Davis
69,70065,0,Ashmont,742.115731874145,Porter
70,70065,0,Braintree,686.6599024904467,Porter
71,70065,0,Southbound,363.6799981611732,Porter
72,70066,1,Alewife,369.6353464492867,Porter
73,70067,0,Ashmont,765.1028288653366,Harvard
74,70067,0,Braintree,710.2026241799438,Harvard
75,70067,0,Southbound,373.41323001197287,Harvard
76,70068,1,Alewife,373.01026640476334,Harvard
77,70069,0,Ashmont,757.2306616030381,Central
78,70069,0,Braintree,703.3273978275412,Central
79,70069,0,Southbound,372.0240990789591,Central
80,70070,1,Alewife,369.6547995735969,Central
81,70071,0,Ashmont,757.4184795243947,Kendall/MIT
82,70071,0,Braintree,703.139440461841,Kendall/MIT
83,70071,0,Southbound,369.0476908918091,Kendall/MIT
84,70072,1,Alewife,369.3540429028779,Kendall/MIT
85,70073,0,Ashmont,753.5526227076591,Charles/MGH
