Unnamed: 0,stop_id,direction_id,destination,headway_time_sec,stop_name
0,70001,0,Forest Hills,560.2574468085106,
1,70001,1,Oak Grove,538.0749978243844,
2,70002,0,Forest Hills,539.82131773693,Green Street
3,70003,1,Oak Grove,531.5583397650287,Green Street
4,70004,0,Forest Hills,540.2007264417994,Stony Brook
5,70005,1,Oak Grove,533.7458661183149,Stony Brook
6,70006,0,Forest Hills,540.4278915046059,Jackson Square
7,70007,1,Oak Grove,533.7118152196049,Jackson Square
8,70008,0,Forest Hills,539.467888026797,Roxbury Crossing
9,70009,1,Oak Grove,533.487689410008,Roxbury Crossing
10,70010,0,Forest Hills,532.9906867453348,Ruggles
11,70011,1,Oak Grove,533.5654727550501,Ruggles
12,70012,0,Forest Hills,532.8475849179541,Massachusetts Avenue
13,70013,1,Oak Grove,533.5855224058006,Massachusetts Avenue
14,70014,0,Forest Hills,533.2983064225535,Back Bay
15,70015,1,Oak Grove,533.7006796941376,Back Bay
16,70016,0,Forest Hills,528.2665657409341,Tufts Medical Center
17,70017,1,Oak Grove,533.6593677691575,Tufts Medical Center
18,70018,0,Forest Hills,528.578144831783,Chinatown
19,70019,1,Oak Grove,530.0666898228552,Chinatown
20,70020,0,Forest Hills,528.4754340534246,Downtown Crossing
21,70021,1,Oak Grove,526.7209083953537,Downtown Crossing
22,70022,0,Forest Hills,530.8213589553397,State
23,70023,1,Oak Grove,526.5390540775518,State
24,70024,0,Forest Hills,530.5497833255641,Haymarket
25,70025,1,Oak Grove,526.2638482950591,Haymarket
26,70026,0,Forest Hills,524.6239897067884,North Station
27,70027,1,Oak Grove,520.1047184448298,North Station
28,70028,0,Forest Hills,526.1335782384326,Community College
29,70029,1,Oak Grove,522.5516388810398,Community College
30,70030,0,Forest Hills,531.8726331233279,Sullivan Square
31,70031,1,Oak Grove,527.5131484809883,Sullivan Square
32,70032,0,Forest Hills,537.9762933305236,Wellington
33,70033,1,Oak Grove,536.838343542038,Wellington
34,70034,0,Forest Hills,540.3143308596385,Malden Center
35,70035,1,Oak Grove,535.2079606599438,Malden Center
36,70036,0,Forest Hills,551.965077755852,
37,70036,1,Oak Grove,844.2807646356033,
38,70038,1,Wonderland,460.3890193686137,
39,70039,0,Bowdoin,455.7026664635076,Government Center
40,70040,1,Wonderland,462.09892584365394,Government Center
