stop_id,direction_id,destination,headway_time_sec,stop_name,stop_desc,line,year
70112,1,North Station,330.57142857142856,Chestnut Hill Avenue,Chestnut Hill Avenue - Green Line - Park Street & North,green,2018
70112,1,Park St,551.6344129554656,Chestnut Hill Avenue,Chestnut Hill Avenue - Green Line - Park Street & North,green,2018
70113,0,Boston College,525.931852495768,Chestnut Hill Avenue,Chestnut Hill Avenue - Green Line - (B) Boston College,green,2018
70114,1,Government Center,303.75,Chiswick Road,Chiswick Road - Green Line - Park Street & North,green,2018
70114,1,Lechmere,228.0,Chiswick Road,Chiswick Road - Green Line - Park Street & North,green,2018
70114,1,North Station,339.0,Chiswick Road,Chiswick Road - Green Line - Park Street & North,green,2018
70114,1,Park St,556.6020357320806,Chiswick Road,Chiswick Road - Green Line - Park Street & North,green,2018
70115,0,Boston College,538.9977071810146,Chiswick Road,Chiswick Road - Green Line - (B) Boston College,green,2018
70116,1,Government Center,350.75,Sutherland Road,Sutherland Road - Green Line - Park Street & North,green,2018
70116,1,Lechmere,722.0,Sutherland Road,Sutherland Road - Green Line - Park Street & North,green,2018
70116,1,North Station,275.0,Sutherland Road,Sutherland Road - Green Line - Park Street & North,green,2018
70116,1,Park St,555.3881497671766,Sutherland Road,Sutherland Road - Green Line - Park Street & North,green,2018
70117,0,Boston College,553.2663964809964,Sutherland Road,Sutherland Road - Green Line - (B) Boston College,green,2018
70120,1,Government Center,369.2,Washington Street,Washington Street - Green Line - Park Street & North,green,2018
70120,1,Lechmere,723.0,Washington Street,Washington Street - Green Line - Park Street & North,green,2018
70120,1,North Station,485.0,Washington Street,Washington Street - Green Line - Park Street & North,green,2018
70120,1,Park St,537.5122231412554,Washington Street,Washington Street - Green Line - Park Street & North,green,2018
70121,0,Boston College,526.7199094712297,Washington Street,Washington Street - Green Line - (B) Boston College,green,2018
70124,1,Government Center,356.5,Warren Street,Warren Street - Green Line - Park Street & North,green,2018
70124,1,North Station,393.0,Warren Street,Warren Street - Green Line - Park Street & North,green,2018
70124,1,Park St,528.8024059435877,Warren Street,Warren Street - Green Line - Park Street & North,green,2018
70125,0,Boston College,530.3374382584985,Warren Street,Warren Street - Green Line - (B) Boston College,green,2018
70126,1,Government Center,413.0,Allston Street,Allston Street - Green Line - Park Street & North,green,2018
70126,1,North Station,393.0,Allston Street,Allston Street - Green Line - Park Street & North,green,2018
70126,1,Park St,531.3761428138134,Allston Street,Allston Street - Green Line - Park Street & North,green,2018
